seq,rtt_ms,inter_arrival_ms,timestamp
167,0.353,20.069,1770628377.648530
168,0.295,20.074,1770628377.668604
169,0.273,20.211,1770628377.688815
170,0.313,20.275,1770628377.709090
171,0.457,20.278,1770628377.729368
172,0.489,20.278,1770628377.749646
173,0.546,20.297,1770628377.769943
174,0.507,20.146,1770628377.790089
175,0.469,20.080,1770628377.810169
176,0.490,20.260,1770628377.830429
177,0.456,20.085,1770628377.850514
178,0.453,20.119,1770628377.870633
179,0.352,20.031,1770628377.890664
180,0.432,20.260,1770628377.910924
181,0.468,20.280,1770628377.931203
182,0.477,20.274,1770628377.951478
183,0.476,20.235,1770628377.971713
184,0.495,20.264,1770628377.991977
185,0.371,20.009,1770628378.011986
186,0.490,20.386,1770628378.032372
187,0.480,20.121,1770628378.052492
188,0.518,20.306,1770628378.072799
189,0.508,20.240,1770628378.093039
190,0.472,20.163,1770628378.113202
191,0.498,20.265,1770628378.133467
192,0.502,20.119,1770628378.153586
193,0.478,20.100,1770628378.173686
194,0.494,20.255,1770628378.193942
195,0.463,20.067,1770628378.214009
196,0.500,20.152,1770628378.234160
197,0.451,20.069,1770628378.254229
198,0.381,20.051,1770628378.274280
199,0.485,20.366,1770628378.294646
200,0.473,20.173,1770628378.314819
201,0.199,19.801,1770628378.334620
202,0.425,20.439,1770628378.355060
203,0.367,20.187,1770628378.375246
204,0.517,20.302,1770628378.395548
205,0.490,20.098,1770628378.415647
206,0.490,20.138,1770628378.435785
207,0.487,20.234,1770628378.456019
208,0.479,20.128,1770628378.476147
209,0.408,20.169,1770628378.496316
210,0.522,20.357,1770628378.516673
211,0.508,20.270,1770628378.536943
212,0.372,20.035,1770628378.556978
213,0.489,20.257,1770628378.577235
214,0.484,20.128,1770628378.597363
215,0.545,20.306,1770628378.617670
216,0.434,20.127,1770628378.637797
217,0.524,20.330,1770628378.658126
218,0.509,20.204,1770628378.678331
219,0.546,20.265,1770628378.698596
220,0.529,20.226,1770628378.718821
221,0.406,20.143,1770628378.738965
222,0.502,20.260,1770628378.759225
223,0.409,20.148,1770628378.779373
224,0.533,20.264,1770628378.799637
225,0.496,20.100,1770628378.819737
226,0.322,20.026,1770628378.839764
227,0.457,20.237,1770628378.860001
228,0.305,19.945,1770628378.879946
229,0.436,20.229,1770628378.900175
230,0.511,20.288,1770628378.920463
231,0.504,20.178,1770628378.940642
232,0.444,20.178,1770628378.960820
233,0.469,20.114,1770628378.980934
234,0.391,20.058,1770628379.000992
235,0.428,20.226,1770628379.021218
236,0.278,19.949,1770628379.041167
237,0.255,20.071,1770628379.061238
238,0.336,20.190,1770628379.081428
239,0.464,20.361,1770628379.101789
240,0.391,20.069,1770628379.121858
241,0.383,20.242,1770628379.142100
242,0.489,20.226,1770628379.162327
243,0.462,20.190,1770628379.182517
244,0.527,20.305,1770628379.202822
245,0.476,20.192,1770628379.223013
246,0.463,20.226,1770628379.243239
247,0.489,20.238,1770628379.263478
248,0.474,20.225,1770628379.283703
249,0.463,20.223,1770628379.303926
250,0.427,20.112,1770628379.324038
251,0.258,19.916,1770628379.343954
252,0.430,20.292,1770628379.364246
253,0.486,20.290,1770628379.384535
254,0.454,20.195,1770628379.404730
255,0.400,20.210,1770628379.424940
256,0.505,20.251,1770628379.445191
257,0.445,20.190,1770628379.465381
258,0.517,20.321,1770628379.485701
259,0.472,20.223,1770628379.505924
260,0.390,20.053,1770628379.525977
261,0.402,20.124,1770628379.546102
262,0.517,20.355,1770628379.566457
263,0.494,20.214,1770628379.586671
264,0.373,20.165,1770628379.606836
265,0.383,20.245,1770628379.627081
266,0.465,20.315,1770628379.647397
267,0.493,20.273,1770628379.667670
268,0.472,20.249,1770628379.687918
269,0.503,20.282,1770628379.708200
270,0.475,20.197,1770628379.728397
271,0.468,20.187,1770628379.748584
272,0.524,20.292,1770628379.768877
273,0.419,20.137,1770628379.789013
274,0.406,20.126,1770628379.809139
275,0.431,20.150,1770628379.829289
276,0.322,20.031,1770628379.849320
277,0.377,20.191,1770628379.869511
278,0.331,20.148,1770628379.889659
279,0.397,20.306,1770628379.909965
280,0.419,20.147,1770628379.930112
281,0.380,20.064,1770628379.950176
282,0.393,20.147,1770628379.970322
283,0.422,20.208,1770628379.990530
284,0.358,20.030,1770628380.010561
285,0.322,20.058,1770628380.030619
286,0.258,20.056,1770628380.050675
287,0.362,20.177,1770628380.070852
288,0.273,20.011,1770628380.090863
289,0.370,20.192,1770628380.111055
290,0.382,20.122,1770628380.131176
291,0.366,20.109,1770628380.151285
292,0.540,20.288,1770628380.171573
293,0.484,20.064,1770628380.191636
294,0.394,20.052,1770628380.211688
295,0.443,20.282,1770628380.231971
296,0.470,20.287,1770628380.252258
297,0.401,20.045,1770628380.272303
298,0.294,20.017,1770628380.292320
299,0.464,20.297,1770628380.312617
300,0.251,19.893,1770628380.332510
301,0.219,20.076,1770628380.352585
302,0.210,20.081,1770628380.372666
303,0.379,20.264,1770628380.392931
304,0.409,20.124,1770628380.413055
305,0.385,20.115,1770628380.433170
306,0.363,20.227,1770628380.453397
307,0.480,20.234,1770628380.473630
308,0.407,20.041,1770628380.493671
309,0.454,20.176,1770628380.513847
310,0.448,20.074,1770628380.533921
311,0.401,20.083,1770628380.554004
312,0.398,20.191,1770628380.574195
313,0.342,20.058,1770628380.594254
314,0.402,20.195,1770628380.614449
315,0.447,20.175,1770628380.634625
316,0.420,20.105,1770628380.654730
317,0.540,20.359,1770628380.675089
318,0.319,19.886,1770628380.694975
319,0.357,20.140,1770628380.715115
320,0.372,20.128,1770628380.735243
321,0.288,20.016,1770628380.755259
322,0.445,20.274,1770628380.775533
323,0.400,20.071,1770628380.795604
324,0.423,20.139,1770628380.815743
325,0.424,20.139,1770628380.835882
326,0.362,20.075,1770628380.855957
327,0.419,20.179,1770628380.876136
328,0.353,20.093,1770628380.896229
329,0.319,20.071,1770628380.916299
330,0.420,20.222,1770628380.936521
331,0.525,20.241,1770628380.956763
332,0.470,20.083,1770628380.976845
333,0.374,19.994,1770628380.996840
334,0.405,20.115,1770628381.016954
335,0.310,20.064,1770628381.037018
336,0.347,20.214,1770628381.057232
337,0.212,19.968,1770628381.077201
338,0.383,20.388,1770628381.097589
339,0.560,20.404,1770628381.117992
340,0.324,19.845,1770628381.137837
341,0.404,20.185,1770628381.158022
342,0.321,20.019,1770628381.178041
343,0.453,20.247,1770628381.198288
344,0.387,20.168,1770628381.218456
345,0.418,20.265,1770628381.238721
346,0.417,20.143,1770628381.258864
347,0.475,20.321,1770628381.279185
348,0.417,20.156,1770628381.299341
349,0.457,20.267,1770628381.319608
350,0.844,20.576,1770628381.340184
351,0.169,19.414,1770628381.359598
352,0.407,20.445,1770628381.380043
353,0.360,20.049,1770628381.400092
354,0.303,20.072,1770628381.420165
355,0.428,20.247,1770628381.440412
356,0.523,20.316,1770628381.460727
357,0.477,20.080,1770628381.480808
358,0.407,20.178,1770628381.500986
359,0.461,20.192,1770628381.521178
360,0.275,19.937,1770628381.541115
361,0.307,20.140,1770628381.561255
362,0.284,20.090,1770628381.581345
363,0.459,20.388,1770628381.601733
364,0.560,20.262,1770628381.621995
365,0.339,19.956,1770628381.641951
366,0.431,20.201,1770628381.662152
367,0.392,20.207,1770628381.682359
368,0.429,20.266,1770628381.702625
369,0.481,20.285,1770628381.722910
370,0.255,19.856,1770628381.742767
371,0.319,20.152,1770628381.762918
372,0.412,20.243,1770628381.783161
373,0.362,20.056,1770628381.803217
374,0.342,20.137,1770628381.823354
375,0.449,20.221,1770628381.843575
376,0.505,20.282,1770628381.863857
377,0.349,19.969,1770628381.883825
378,0.320,20.152,1770628381.903977
379,0.426,20.204,1770628381.924182
380,0.274,19.958,1770628381.944140
381,0.333,20.234,1770628381.964374
382,0.437,20.222,1770628381.984596
383,0.402,20.143,1770628382.004740
384,0.268,19.974,1770628382.024714
385,0.381,20.222,1770628382.044936
386,0.456,20.284,1770628382.065220
387,0.319,19.973,1770628382.085193
388,0.337,20.136,1770628382.105329
389,0.413,20.189,1770628382.125517
390,0.377,20.083,1770628382.145601
391,0.430,20.184,1770628382.165785
392,0.351,20.025,1770628382.185810
393,0.552,20.328,1770628382.206138
394,0.266,19.830,1770628382.225969
395,0.304,20.151,1770628382.246120
396,0.316,20.133,1770628382.266253
397,0.395,20.176,1770628382.286430
398,0.454,20.172,1770628382.306602
399,0.450,20.101,1770628382.326702
400,0.441,20.185,1770628382.346887
401,0.276,19.951,1770628382.366838
402,0.402,20.221,1770628382.387059
403,0.413,20.125,1770628382.407183
404,0.430,20.116,1770628382.427300
405,0.517,20.321,1770628382.447621
406,0.441,20.133,1770628382.467754
407,0.403,20.097,1770628382.487850
408,0.287,20.012,1770628382.507862
409,0.424,20.315,1770628382.528177
410,0.308,20.029,1770628382.548205
411,0.373,20.281,1770628382.568486
412,0.456,20.220,1770628382.588706
413,0.312,19.964,1770628382.608670
414,0.272,20.154,1770628382.628824
415,0.278,20.232,1770628382.649055
416,0.363,20.207,1770628382.669262
417,0.538,20.318,1770628382.689580
418,0.397,19.975,1770628382.709555
419,0.441,20.177,1770628382.729732
420,0.377,20.167,1770628382.749898
421,0.401,20.153,1770628382.770051
422,0.488,20.213,1770628382.790264
423,0.407,20.160,1770628382.810424
424,0.406,20.222,1770628382.830647
425,0.406,20.125,1770628382.850772
