seq,rtt_ms,status,timestamp
67,0.397,OK,1770628006.920637
68,0.312,OK,1770628006.940656
69,0.348,OK,1770628006.960826
70,0.161,OK,1770628006.980723
71,0.240,OK,1770628007.000880
72,0.358,OK,1770628007.021224
73,0.405,OK,1770628007.041399
74,0.480,OK,1770628007.061713
75,0.245,OK,1770628007.081667
76,0.355,OK,1770628007.102006
77,0.363,OK,1770628007.122213
78,0.476,OK,1770628007.142547
79,0.430,OK,1770628007.162606
80,0.317,OK,1770628007.182674
81,0.343,OK,1770628007.202899
82,0.330,OK,1770628007.223021
83,0.306,OK,1770628007.243217
84,0.434,OK,1770628007.263476
85,0.441,OK,1770628007.283603
86,0.403,OK,1770628007.303693
87,0.379,OK,1770628007.323873
88,0.412,OK,1770628007.344143
89,0.439,OK,1770628007.364311
90,0.458,OK,1770628007.384453
91,0.397,OK,1770628007.404582
92,0.363,OK,1770628007.424656
93,0.286,OK,1770628007.444810
94,0.320,OK,1770628007.465060
95,0.267,OK,1770628007.485141
96,0.295,OK,1770628007.505308
97,0.293,OK,1770628007.525424
98,0.318,OK,1770628007.545580
99,0.351,OK,1770628007.565747
100,0.303,OK,1770628007.585894
101,0.282,OK,1770628007.606102
102,0.303,OK,1770628007.626282
103,0.510,OK,1770628007.646626
104,0.435,OK,1770628007.666670
105,0.415,OK,1770628007.686931
106,0.405,OK,1770628007.707153
107,0.377,OK,1770628007.727232
108,0.401,OK,1770628007.747422
109,0.582,OK,1770628007.767711
110,0.388,OK,1770628007.787756
111,0.369,OK,1770628007.807963
112,0.362,OK,1770628007.828146
113,0.283,OK,1770628007.848304
114,0.368,OK,1770628007.868493
115,0.328,OK,1770628007.888702
116,0.296,OK,1770628007.908866
117,0.281,OK,1770628007.929086
118,0.296,OK,1770628007.949254
119,0.296,OK,1770628007.969384
120,0.412,OK,1770628007.989613
121,0.203,OK,1770628008.009488
122,0.331,OK,1770628008.029749
123,0.407,OK,1770628008.050058
124,0.300,OK,1770628008.070050
125,0.145,OK,1770628008.089998
126,0.136,OK,1770628008.110082
127,0.114,OK,1770628008.130139
128,0.337,OK,1770628008.150565
129,0.381,OK,1770628008.170727
130,0.383,OK,1770628008.190929
131,0.367,OK,1770628008.211020
132,0.412,OK,1770628008.231269
133,0.465,OK,1770628008.251455
134,0.473,OK,1770628008.271594
135,0.395,OK,1770628008.291732
136,0.433,OK,1770628008.312012
137,0.270,OK,1770628008.332037
138,0.389,OK,1770628008.352391
139,0.518,OK,1770628008.372645
140,0.471,OK,1770628008.392836
141,0.413,OK,1770628008.412961
142,0.418,OK,1770628008.433194
143,0.352,OK,1770628008.453249
144,0.373,OK,1770628008.473385
145,0.483,OK,1770628008.493627
146,0.407,OK,1770628008.513782
147,0.379,OK,1770628008.533977
148,0.364,OK,1770628008.554188
149,0.403,OK,1770628008.574382
150,0.463,OK,1770628008.594680
151,0.396,OK,1770628008.614732
152,0.401,OK,1770628008.634973
153,0.424,OK,1770628008.655237
154,0.386,OK,1770628008.675316
155,0.495,OK,1770628008.695550
156,0.461,OK,1770628008.715755
157,0.399,OK,1770628008.735954
158,0.423,OK,1770628008.756217
159,0.305,OK,1770628008.776329
160,0.498,OK,1770628008.796757
161,0.434,OK,1770628008.816926
162,0.262,OK,1770628008.836943
163,0.209,OK,1770628008.856994
164,0.243,OK,1770628008.877147
165,0.391,OK,1770628008.897551
166,0.357,OK,1770628008.917740
167,0.324,OK,1770628008.937952
168,0.304,OK,1770628008.958069
169,0.302,OK,1770628008.978202
170,0.499,OK,1770628008.998512
171,0.195,OK,1770628009.018296
172,0.386,OK,1770628009.038715
173,0.382,OK,1770628009.058942
174,0.436,OK,1770628009.079119
175,0.386,OK,1770628009.099169
176,0.391,OK,1770628009.119305
177,0.390,OK,1770628009.139432
178,0.448,OK,1770628009.159623
179,0.402,OK,1770628009.179698
180,0.436,OK,1770628009.199969
181,0.465,OK,1770628009.220119
182,0.419,OK,1770628009.240304
183,0.533,OK,1770628009.260664
184,0.430,OK,1770628009.280693
185,0.419,OK,1770628009.300802
186,0.422,OK,1770628009.321050
187,0.441,OK,1770628009.341238
188,0.585,OK,1770628009.361619
189,0.491,OK,1770628009.381653
190,0.412,OK,1770628009.401840
191,0.435,OK,1770628009.422076
192,0.429,OK,1770628009.442311
193,0.504,OK,1770628009.462622
194,0.466,OK,1770628009.482834
195,0.431,OK,1770628009.503016
196,0.433,OK,1770628009.523160
197,0.418,OK,1770628009.543256
198,0.367,OK,1770628009.563332
199,0.424,OK,1770628009.583616
200,0.408,OK,1770628009.603876
201,0.336,OK,1770628009.624016
202,0.412,OK,1770628009.644226
203,0.563,OK,1770628009.664613
204,0.478,OK,1770628009.684637
205,0.424,OK,1770628009.704708
206,0.410,OK,1770628009.724938
207,0.447,OK,1770628009.745115
208,0.392,OK,1770628009.765165
209,0.396,OK,1770628009.785297
210,0.467,OK,1770628009.805607
211,0.365,OK,1770628009.825724
212,0.422,OK,1770628009.846008
213,0.399,OK,1770628009.866262
214,0.503,OK,1770628009.886602
215,0.434,OK,1770628009.906785
216,0.418,OK,1770628009.926978
217,0.433,OK,1770628009.947113
218,0.446,OK,1770628009.967368
219,0.424,OK,1770628009.987585
220,0.538,OK,1770628010.007800
221,0.273,OK,1770628010.027625
222,0.381,OK,1770628010.047944
223,0.423,OK,1770628010.068248
224,0.406,OK,1770628010.088355
225,0.448,OK,1770628010.108631
226,0.415,OK,1770628010.128734
227,0.417,OK,1770628010.148978
228,0.462,OK,1770628010.169276
229,0.396,OK,1770628010.189337
230,0.543,OK,1770628010.209619
231,0.479,OK,1770628010.229684
232,0.414,OK,1770628010.249753
233,0.346,OK,1770628010.269795
234,0.381,OK,1770628010.290068
235,0.272,OK,1770628010.310106
236,0.290,OK,1770628010.330389
237,0.298,OK,1770628010.350628
238,0.349,OK,1770628010.370830
239,0.254,OK,1770628010.390802
240,0.288,OK,1770628010.411086
241,0.303,OK,1770628010.431336
242,0.368,OK,1770628010.451641
243,0.326,OK,1770628010.471749
244,0.307,OK,1770628010.491973
245,0.306,OK,1770628010.512235
246,0.292,OK,1770628010.532344
247,0.343,OK,1770628010.552630
248,0.302,OK,1770628010.572815
249,0.304,OK,1770628010.593024
250,0.717,OK,1770628010.613692
251,0.381,OK,1770628010.633581
252,0.309,OK,1770628010.653758
253,0.281,OK,1770628010.673944
254,0.332,OK,1770628010.694096
255,0.303,OK,1770628010.714232
256,0.339,OK,1770628010.734523
257,0.340,OK,1770628010.754653
258,0.288,OK,1770628010.774785
259,0.289,OK,1770628010.795022
260,0.320,OK,1770628010.815314
261,0.326,OK,1770628010.835451
262,0.303,OK,1770628010.855553
263,0.238,OK,1770628010.875672
264,0.188,OK,1770628010.895706
265,0.249,OK,1770628010.915863
266,0.277,OK,1770628010.936108
267,0.295,OK,1770628010.956253
268,0.485,OK,1770628010.976566
269,0.402,OK,1770628010.996722
270,0.224,OK,1770628011.016781
271,0.236,OK,1770628011.036868
272,0.368,OK,1770628011.057221
273,0.311,OK,1770628011.077294
274,0.421,OK,1770628011.097635
275,0.400,OK,1770628011.117849
276,0.380,OK,1770628011.138062
277,0.397,OK,1770628011.158291
278,0.450,OK,1770628011.178470
279,0.462,OK,1770628011.198587
280,0.386,OK,1770628011.218646
281,0.424,OK,1770628011.238945
282,0.425,OK,1770628011.259209
283,0.426,OK,1770628011.279343
284,0.448,OK,1770628011.299500
285,0.533,OK,1770628011.319711
286,0.443,OK,1770628011.339759
287,0.429,OK,1770628011.359990
288,0.459,OK,1770628011.380159
289,0.418,OK,1770628011.400377
290,0.532,OK,1770628011.420625
291,0.445,OK,1770628011.440781
292,0.444,OK,1770628011.461019
293,0.434,OK,1770628011.481147
