seq,rtt_ms,status,timestamp
72,78.457,OK,1770975805.291196
73,76.720,OK,1770975805.371287
74,63.410,OK,1770975805.438205
75,89.619,OK,1770975805.531167
76,88.537,OK,1770975805.623209
77,65.704,OK,1770975805.692339
78,75.043,OK,1770975805.770911
79,83.099,OK,1770975805.857013
80,77.005,OK,1770975805.937282
81,70.541,OK,1770975806.011374
82,88.341,OK,1770975806.103299
83,64.370,OK,1770975806.171243
84,76.658,OK,1770975806.251322
85,76.168,OK,1770975806.330954
86,77.153,OK,1770975806.411024
87,76.952,OK,1770975806.491294
88,76.585,OK,1770975806.571279
89,76.634,OK,1770975806.651299
90,76.212,OK,1770975806.731235
91,77.456,OK,1770975806.812235
92,75.394,OK,1770975806.890988
93,77.315,OK,1770975806.971339
94,76.470,OK,1770975807.051304
95,76.560,OK,1770975807.131277
96,77.472,OK,1770975807.212186
97,55.591,OK,1770975807.271279
98,57.606,OK,1770975807.331208
99,57.817,OK,1770975807.391282
100,57.578,OK,1770975807.451207
101,58.491,OK,1770975807.512021
102,57.271,OK,1770975807.570987
103,58.290,OK,1770975807.631204
104,58.043,OK,1770975807.691358
105,57.718,OK,1770975807.751292
106,57.565,OK,1770975807.811336
107,57.405,OK,1770975807.871000
108,65.550,OK,1770975807.938375
109,69.918,OK,1770975808.012196
110,55.366,OK,1770975808.070931
111,58.335,OK,1770975808.131065
112,53.321,OK,1770975808.186276
113,48.804,OK,1770975808.237244
114,50.981,OK,1770975808.290450
115,58.719,OK,1770975808.351338
116,48.708,OK,1770975808.402332
117,45.759,OK,1770975808.450267
118,47.942,OK,1770975808.500332
119,67.700,OK,1770975808.570344
120,57.333,OK,1770975808.631435
121,57.683,OK,1770975808.691280
122,59.175,OK,1770975808.752239
123,57.116,OK,1770975808.811152
124,57.108,OK,1770975808.870244
125,58.903,OK,1770975808.931401
126,57.656,OK,1770975808.991389
127,57.444,OK,1770975809.051269
128,57.825,OK,1770975809.111263
129,57.931,OK,1770975809.171319
130,57.860,OK,1770975809.231376
131,58.421,OK,1770975809.291954
132,56.746,OK,1770975809.350378
133,49.918,OK,1770975809.402407
134,67.867,OK,1770975809.472406
135,55.436,OK,1770975809.531286
136,57.951,OK,1770975809.591305
137,58.724,OK,1770975809.652086
138,57.166,OK,1770975809.711373
139,57.669,OK,1770975809.771341
140,57.686,OK,1770975809.831368
141,56.479,OK,1770975809.890053
142,59.185,OK,1770975809.951069
143,58.353,OK,1770975810.011306
144,57.877,OK,1770975810.071406
145,56.732,OK,1770975810.130443
146,58.392,OK,1770975810.191263
147,57.846,OK,1770975810.251300
148,59.183,OK,1770975810.312817
149,56.136,OK,1770975810.371218
150,54.201,OK,1770975810.428130
151,60.952,OK,1770975810.490992
152,57.426,OK,1770975810.551350
153,57.783,OK,1770975810.611373
154,57.617,OK,1770975810.671358
155,57.886,OK,1770975810.731301
156,58.168,OK,1770975810.791740
157,57.368,OK,1770975810.851277
158,57.946,OK,1770975810.911363
159,57.807,OK,1770975810.971330
160,57.938,OK,1770975811.031347
161,57.531,OK,1770975811.090989
162,58.125,OK,1770975811.150995
163,58.734,OK,1770975811.211401
164,58.872,OK,1770975811.272401
165,56.929,OK,1770975811.331428
166,57.769,OK,1770975811.391388
167,57.775,OK,1770975811.451341
168,57.896,OK,1770975811.511431
169,57.776,OK,1770975811.571356
170,57.704,OK,1770975811.631347
171,57.320,OK,1770975811.690983
172,58.344,OK,1770975811.751088
173,58.385,OK,1770975811.811321
174,56.630,OK,1770975811.870111
175,59.271,OK,1770975811.931357
176,57.834,OK,1770975811.991386
177,57.765,OK,1770975812.051352
178,57.797,OK,1770975812.111320
179,57.809,OK,1770975812.171323
180,57.633,OK,1770975812.231342
181,59.551,OK,1770975812.293064
182,56.197,OK,1770975812.351068
183,58.449,OK,1770975812.411360
184,57.645,OK,1770975812.471129
185,58.028,OK,1770975812.531147
186,58.017,OK,1770975812.591085
187,58.292,OK,1770975812.651389
188,57.916,OK,1770975812.711429
189,57.773,OK,1770975812.771376
190,58.801,OK,1770975812.832379
191,56.586,OK,1770975812.891062
192,58.514,OK,1770975812.951423
193,58.012,OK,1770975813.011520
194,57.717,OK,1770975813.071463
195,57.781,OK,1770975813.131349
196,57.743,OK,1770975813.191356
197,58.918,OK,1770975813.252396
198,58.152,OK,1770975813.312915
199,56.299,OK,1770975813.371358
200,57.775,OK,1770975813.431460
201,57.380,OK,1770975813.491059
202,58.198,OK,1770975813.551104
203,59.704,OK,1770975813.612443
204,55.446,OK,1770975813.671382
205,57.893,OK,1770975813.731405
206,56.768,OK,1770975813.790362
207,59.873,OK,1770975813.852401
208,75.788,OK,1770975813.931410
209,56.718,OK,1770975813.991454
210,58.033,OK,1770975814.052144
211,59.165,OK,1770975814.113072
212,57.382,OK,1770975814.172245
213,58.222,OK,1770975814.232422
214,57.823,OK,1770975814.292414
215,56.844,OK,1770975814.351398
216,59.130,OK,1770975814.412610
217,58.799,OK,1770975814.473458
218,55.785,OK,1770975814.531373
219,57.621,OK,1770975814.591169
220,64.366,OK,1770975814.657422
221,74.503,OK,1770975814.735084
222,53.088,OK,1770975814.791165
223,59.290,OK,1770975814.852439
224,56.491,OK,1770975814.911113
225,59.486,OK,1770975814.972540
226,56.387,OK,1770975815.031419
227,57.533,OK,1770975815.091282
228,58.185,OK,1770975815.151273
229,58.772,OK,1770975815.212423
230,57.378,OK,1770975815.272025
231,58.311,OK,1770975815.332021
232,58.354,OK,1770975815.392187
233,58.068,OK,1770975815.452186
234,58.132,OK,1770975815.512189
235,46.107,OK,1770975815.560003
236,75.472,OK,1770975815.637416
237,70.711,OK,1770975815.711401
238,62.628,OK,1770975815.777379
239,70.407,OK,1770975815.851053
240,62.779,OK,1770975815.917071
241,71.262,OK,1770975815.991323
242,57.910,OK,1770975816.052428
243,56.847,OK,1770975816.111489
244,57.567,OK,1770975816.171227
245,59.031,OK,1770975816.232374
246,56.810,OK,1770975816.291361
247,57.940,OK,1770975816.351404
248,49.814,OK,1770975816.403349
249,65.609,OK,1770975816.471004
250,58.278,OK,1770975816.532187
251,57.132,OK,1770975816.591376
252,57.846,OK,1770975816.651372
253,59.643,OK,1770975816.713202
254,56.224,OK,1770975816.771352
255,58.890,OK,1770975816.832391
256,56.788,OK,1770975816.891336
257,58.048,OK,1770975816.951517
258,57.783,OK,1770975817.011506
259,58.452,OK,1770975817.072076
260,49.321,OK,1770975817.123154
261,67.359,OK,1770975817.192187
262,62.173,OK,1770975817.257555
263,51.670,OK,1770975817.312618
264,57.579,OK,1770975817.372450
265,56.717,OK,1770975817.431377
266,57.773,OK,1770975817.491401
267,52.743,OK,1770975817.546339
268,63.786,OK,1770975817.612372
269,62.275,OK,1770975817.678041
270,67.034,OK,1770975817.751156
271,57.013,OK,1770975817.811356
272,57.845,OK,1770975817.871435
273,58.875,OK,1770975817.932543
274,56.372,OK,1770975817.991159
275,58.041,OK,1770975818.051173
276,57.891,OK,1770975818.111147
277,57.154,OK,1770975818.170159
278,58.012,OK,1770975818.230091
279,48.188,OK,1770975818.286091
280,46.342,OK,1770975818.337094
281,57.858,OK,1770975818.396721
282,72.337,OK,1770975818.471252
283,56.872,OK,1770975818.531267
284,58.065,OK,1770975818.591135
285,58.214,OK,1770975818.651186
286,57.984,OK,1770975818.711145
287,57.433,OK,1770975818.770522
288,58.670,OK,1770975818.831528
289,57.495,OK,1770975818.891105
290,58.236,OK,1770975818.951072
291,59.288,OK,1770975819.012333
292,57.078,OK,1770975819.071370
293,58.001,OK,1770975819.131402
294,77.784,OK,1770975819.211365
295,56.730,OK,1770975819.271532
296,58.507,OK,1770975819.332389
297,56.763,OK,1770975819.391178
298,57.796,OK,1770975819.451104
299,58.273,OK,1770975819.511088
300,58.514,OK,1770975819.571227
301,45.221,OK,1770975819.618488
302,69.770,OK,1770975819.690450
303,57.554,OK,1770975819.751414
304,58.714,OK,1770975819.812351
305,55.840,OK,1770975819.870406
306,58.766,OK,1770975819.931445
307,57.683,OK,1770975819.991353
308,57.542,OK,1770975820.051125
309,57.763,OK,1770975820.111179
310,57.269,OK,1770975820.170369
311,48.687,OK,1770975820.221265
312,67.870,OK,1770975820.291292
313,57.051,OK,1770975820.351458
314,57.652,OK,1770975820.411407
315,57.834,OK,1770975820.471428
316,57.779,OK,1770975820.531511
317,57.803,OK,1770975820.591499
318,57.500,OK,1770975820.651171
319,58.299,OK,1770975820.711272
320,58.183,OK,1770975820.771166
321,58.526,OK,1770975820.831396
322,56.768,OK,1770975820.890357
323,59.015,OK,1770975820.951591
324,56.534,OK,1770975821.010381
325,59.071,OK,1770975821.071452
326,57.814,OK,1770975821.131393
